org_name,site_name,latitude,longitude,elevation,measured_on,land covers:data source,land covers:measured at,land covers:muc code,land covers:muc details,land covers:muc description,land covers:field notes,land covers:snow ice,land covers:standing water,land covers:muddy,land covers:dry ground,land covers:leaves on trees,land covers:raining snowing,land covers:north classifications,land covers:east classifications,land covers:south classifications,land covers:west classifications,land covers:north photo url,land covers:north caption,land covers:north extra data,land covers:east photo url,land covers:east caption,land covers:east extra data,land covers:south photo url,land covers:south caption,land covers:south extra data,land covers:west photo url,land covers:west caption,land covers:west extra data,land covers:upward photo url,land covers:upward caption,land covers:upward extra data,land covers:downward photo url,land covers:downward caption,land covers:downward extra data
Al-Matan Intermediate and Secondary Girls School at Sabya,31QFV647266,17.419224,4.550636,333.1,2018-09-25,GLOBE Observer,2018-09-25T13:48:00,,,,مزرعة,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,,,,,https://data.globe.gov/system/photos/2018/09/25/852474/original.jpg,,source:library,https://data.globe.gov/system/photos/2018/09/25/852475/original.jpg,,source:library,https://data.globe.gov/system/photos/2018/09/25/852476/original.jpg,,source:library,https://data.globe.gov/system/photos/2018/09/25/852477/original.jpg,,source:library,https://data.globe.gov/system/photos/2018/09/25/852478/original.jpg,,source:library,https://data.globe.gov/system/photos/2018/09/25/852479/original.jpg,,source:library
Al-Matan Intermediate and Secondary Girls School at Sabya,38QKD385723,16.919672,42.544964,0,2018-09-21,GLOBE Observer,2018-09-21T14:54:00,,,,(none),FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,,,,,https://data.globe.gov/system/photos/2018/09/21/848503/original.jpg,,source:library,https://data.globe.gov/system/photos/2018/09/21/848504/original.jpg,,source:library,https://data.globe.gov/system/photos/2018/09/21/848505/original.jpg,,source:library,https://data.globe.gov/system/photos/2018/09/21/848506/original.jpg,,source:library,https://data.globe.gov/system/photos/2018/09/21/848507/original.jpg,,source:library,https://data.globe.gov/system/photos/2018/09/21/848508/original.jpg,,source:library
Al-Matan Intermediate and Secondary Girls School at Sabya,38QKD385723,16.919672,42.544964,0,2018-09-24,GLOBE Observer,2018-09-24T14:40:00,,,,(none),FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,,,,,https://data.globe.gov/system/photos/2018/09/24/851707/original.jpg,,source:library,https://data.globe.gov/system/photos/2018/09/24/851708/original.jpg,,source:library,https://data.globe.gov/system/photos/2018/09/24/851709/original.jpg,,source:library,https://data.globe.gov/system/photos/2018/09/24/851710/original.jpg,,source:library,https://data.globe.gov/system/photos/2018/09/24/851711/original.jpg,,source:library,https://data.globe.gov/system/photos/2018/09/24/851712/original.jpg,,source:library
Al-Matan Intermediate and Secondary Girls School at Sabya,38QKD386725,16.92149,42.545878,0,2018-09-28,GLOBE Observer,2018-09-28T18:24:00,,,,(none),FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,,,,,https://data.globe.gov/system/photos/2018/09/28/857571/original.jpg,,source:camera,https://data.globe.gov/system/photos/2018/09/28/857572/original.jpg,,source:camera,https://data.globe.gov/system/photos/2018/09/28/857573/original.jpg,,source:camera,https://data.globe.gov/system/photos/2018/09/28/857574/original.jpg,,source:camera,https://data.globe.gov/system/photos/2018/09/28/857575/original.jpg,,source:camera,https://data.globe.gov/system/photos/2018/09/28/857576/original.jpg,,source:camera
Al-Matan Intermediate and Secondary Girls School at Sabya,38QKE141224,17.369169,42.309555,0,2018-09-22,GLOBE Observer,2018-09-22T15:02:00,,,,(none),FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,,,,,https://data.globe.gov/system/photos/2018/09/22/851613/original.jpg,,source:library,https://data.globe.gov/system/photos/2018/09/22/851614/original.jpg,,source:library,https://data.globe.gov/system/photos/2018/09/22/851619/original.jpg,,source:library,https://data.globe.gov/system/photos/2018/09/22/851620/original.jpg,,source:library,https://data.globe.gov/system/photos/2018/09/22/851621/original.jpg,,source:library,https://data.globe.gov/system/photos/2018/09/22/851622/original.jpg,,source:library
Australia Citizen Science,50HMJ196063,-33.37956,116.135625,177,2018-10-01,GLOBE Observer,2018-10-01T08:04:00,,,,(none),FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,,,,,https://data.globe.gov/system/photos/2018/10/01/860423/original.jpg,,source:app; compassData.horizon:-6.222692580529127,https://data.globe.gov/system/photos/2018/10/01/860424/original.jpg,,source:app; compassData.horizon:-7.916399326405184,https://data.globe.gov/system/photos/2018/10/01/860425/original.jpg,,source:app; compassData.horizon:-16.09860024056971,https://data.globe.gov/system/photos/2018/10/01/860426/original.jpg,,source:app; compassData.horizon:-6.862503710532778,https://data.globe.gov/system/photos/2018/10/01/860427/original.jpg,,source:app; compassData.horizon:86.85038830509303,https://data.globe.gov/system/photos/2018/10/01/860428/original.jpg,,source:app; compassData.horizon:-88.34564328354962
Australia Citizen Science,55HBT742911,-37.999676,144.42839,23,2018-09-30,GLOBE Observer,2018-09-30T05:37:00,32,l,"Shrubs, Loosely Spaced, Short Deciduous",Near walking track,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,"50% MUC 12 (n) [Trees, Loosely Spaced, Deciduous - Needle Leaved]; 50% MUC 32 (l) [Shrubs, Loosely Spaced, Short Deciduous]; 50% MUC 56 [Barren, Dirt/Other]; 50% MUC 94 [Urban, Other]","30% MUC 12 (n) [Trees, Loosely Spaced, Deciduous - Needle Leaved]; 80% MUC 32 (l) [Shrubs, Loosely Spaced, Short Deciduous]; 30% MUC 56 [Barren, Dirt/Other]; 10% MUC 94 [Urban, Other]","20% MUC 12 (n) [Trees, Loosely Spaced, Deciduous - Needle Leaved]; 50% MUC 32 (l) [Shrubs, Loosely Spaced, Short Deciduous]; 30% MUC 56 [Barren, Dirt/Other]","20% MUC 12 (n) [Trees, Loosely Spaced, Deciduous - Needle Leaved]; 50% MUC 32 (l) [Shrubs, Loosely Spaced, Short Deciduous]; 30% MUC 56 [Barren, Dirt/Other]",https://data.globe.gov/system/photos/2018/09/30/859055/original.jpg,,source:app; compassData.heading:0.585968017578125; compassData.horizon:-1.414173332685479,https://data.globe.gov/system/photos/2018/09/30/859056/original.jpg,,source:app; compassData.heading:90.38921007514; compassData.horizon:0.0650021247256376,https://data.globe.gov/system/photos/2018/09/30/859057/original.jpg,,source:app; compassData.heading:184.06661987304688; compassData.horizon:0.6928623276371724,https://data.globe.gov/system/photos/2018/09/30/859058/original.jpg,,source:app; compassData.heading:272.6812438964844; compassData.horizon:-0.5006338716141272,https://data.globe.gov/system/photos/2018/09/30/859059/original.jpg,,source:app; compassData.heading:147.4639892578125; compassData.horizon:88.3072973549316,https://data.globe.gov/system/photos/2018/09/30/859060/original.jpg,,source:app; compassData.heading:25.43841552734375; compassData.horizon:-88.0761401163009
Australia Citizen Science,55HBT742911,-37.999676,144.42839,23,2018-09-30,GLOBE Observer,2018-09-30T05:23:00,52,,"Barren, Sandy",Im on walking track,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,"50% MUC 02 (n) [Trees, Closely Spaced, Deciduous - Needle Leaved]; 50% MUC 31 (l) [Shrubs, Loosely Spaced, Short Evergreen]; 50% MUC 43 [Herbaceous/Grassland, Short Grass]; 50% MUC 52 [Barren, Sandy]; 50% MUC 56 [Barren, Dirt/Other]; 50% MUC 94 [Urban, Other]","50% MUC 02 (n) [Trees, Closely Spaced, Deciduous - Needle Leaved]; 50% MUC 31 (l) [Shrubs, Loosely Spaced, Short Evergreen]; 50% MUC 43 [Herbaceous/Grassland, Short Grass]; 50% MUC 52 [Barren, Sandy]; 50% MUC 56 [Barren, Dirt/Other]; 50% MUC 94 [Urban, Other]","50% MUC 02 (n) [Trees, Closely Spaced, Deciduous - Needle Leaved]; 50% MUC 31 (l) [Shrubs, Loosely Spaced, Short Evergreen]; 50% MUC 43 [Herbaceous/Grassland, Short Grass]; 50% MUC 52 [Barren, Sandy]; 50% MUC 56 [Barren, Dirt/Other]; 50% MUC 94 [Urban, Other]; 50% MUC 64 [Wetlands, In Freshwater Lake or Pond (Lacustrine)]","50% MUC 02 (n) [Trees, Closely Spaced, Deciduous - Needle Leaved]; 50% MUC 31 (l) [Shrubs, Loosely Spaced, Short Evergreen]; 50% MUC 43 [Herbaceous/Grassland, Short Grass]; 50% MUC 52 [Barren, Sandy]; 50% MUC 56 [Barren, Dirt/Other]; 50% MUC 94 [Urban, Other]; 50% MUC 64 [Wetlands, In Freshwater Lake or Pond (Lacustrine)]",https://data.globe.gov/system/photos/2018/09/30/859049/original.jpg,,source:app; compassData.heading:356.9324035644531; compassData.horizon:-2.6096204487589603,https://data.globe.gov/system/photos/2018/09/30/859050/original.jpg,,source:app; compassData.heading:88.18606567382812; compassData.horizon:-3.7991114500740366,https://data.globe.gov/system/photos/2018/09/30/859051/original.jpg,,source:app; compassData.heading:179.6678466796875; compassData.horizon:-4.3969002391888665,https://data.globe.gov/system/photos/2018/09/30/859052/original.jpg,,source:app; compassData.heading:268.0103759765625; compassData.horizon:-2.9942045906447845,https://data.globe.gov/system/photos/2018/09/30/859053/original.jpg,,source:app; compassData.heading:67.61239624023438; compassData.horizon:87.67353100542947,https://data.globe.gov/system/photos/2018/09/30/859054/original.jpg,,source:app; compassData.heading:105.75719451904297; compassData.horizon:-89.07416905409725
Australia Citizen Science,55HCU135193,-37.754617,144.882946,43.9,2018-09-19,GLOBE Observer,2018-09-19T07:18:00,42,,"Herbaceous/Grassland, Medium Grass",Im on walking track next to river ،urban,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"20% MUC 91 [Urban, Residential Property]; 60% MUC 42 [Herbaceous/Grassland, Medium Grass]; 20% MUC 01 (n) [Trees, Closely Spaced, Evergreen - Needle Leaved]","20% MUC 91 [Urban, Residential Property]; 60% MUC 42 [Herbaceous/Grassland, Medium Grass]; 20% MUC 01 (n) [Trees, Closely Spaced, Evergreen - Needle Leaved]","20% MUC 91 [Urban, Residential Property]; 60% MUC 42 [Herbaceous/Grassland, Medium Grass]; 20% MUC 01 (n) [Trees, Closely Spaced, Evergreen - Needle Leaved]","20% MUC 91 [Urban, Residential Property]; 60% MUC 42 [Herbaceous/Grassland, Medium Grass]; 20% MUC 01 (n) [Trees, Closely Spaced, Evergreen - Needle Leaved]",https://data.globe.gov/system/photos/2018/09/19/846294/original.jpg,,source:app; compassData.heading:358.0773620605469; compassData.horizon:-80.7628100260171,https://data.globe.gov/system/photos/2018/09/19/846295/original.jpg,,source:app; compassData.heading:94.53851652145386; compassData.horizon:-9.28727131703613,https://data.globe.gov/system/photos/2018/09/19/846296/original.jpg,,source:app; compassData.heading:181.21949005126953; compassData.horizon:-82.5714641557382,https://data.globe.gov/system/photos/2018/09/19/846297/original.jpg,,source:app; compassData.heading:276.03797912597656; compassData.horizon:-8.922711857511786,https://data.globe.gov/system/photos/2018/09/19/846298/original.jpg,,source:app; compassData.heading:132.16722106933594; compassData.horizon:88.16001378914453,https://data.globe.gov/system/photos/2018/09/19/846299/original.jpg,,source:app; compassData.heading:19.976409912109375; compassData.horizon:-86.42493516202049
Australia Citizen Science,55HCU220089,-37.849989,144.976823,4,2018-10-18,GLOBE Observer,2018-10-18T01:39:00,,,,(none),FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,,,,,https://data.globe.gov/system/photos/2018/10/18/877573/original.jpg,,source:app; compassData.heading:359.8465042114258; compassData.horizon:-7.909793422865675,https://data.globe.gov/system/photos/2018/10/18/877574/original.jpg,,source:app; compassData.heading:91.43362426757812; compassData.horizon:-11.682477217654451,https://data.globe.gov/system/photos/2018/10/18/877575/original.jpg,,source:app; compassData.heading:185.72637939453125; compassData.horizon:-10.020613312198478,https://data.globe.gov/system/photos/2018/10/18/877576/original.jpg,,source:app; compassData.heading:269.6741638183594; compassData.horizon:-11.886285680688786,https://data.globe.gov/system/photos/2018/10/18/877577/original.jpg,,source:app; compassData.heading:232.79345703125; compassData.horizon:87.66749253584467,https://data.globe.gov/system/photos/2018/10/18/877578/original.jpg,,source:app; compassData.heading:244.89385986328125; compassData.horizon:-88.19807970762952
